codigo_provincia;provincia;anio;salario_mujer;salario_hombre;salario_nac;brecha_salarial_euros;brecha_salarial_genero_pct
1;Araba/Álava;2015;;;18645;;
1;Araba/Álava;2016;;;18835;;
1;Araba/Álava;2017;;;19172;;
1;Araba/Álava;2018;;;19809;;
1;Araba/Álava;2019;;;20566;;
1;Araba/Álava;2020;;;20503;;
1;Araba/Álava;2021;;;21519;;
1;Araba/Álava;2022;;;22781;;
1;Araba/Álava;2023;;;23981;;
1;Araba/Álava;2024;;;24962;;
2;Albacete;2015;14033;16985;18645;2952;17.38
2;Albacete;2016;14046;17082;18835;3036;17.77
2;Albacete;2017;14361;17473;19172;3112;17.81
2;Albacete;2018;14928;18181;19809;3253;17.89
2;Albacete;2019;15728;19036;20566;3308;17.38
2;Albacete;2020;16327;19207;20503;2880;14.99
2;Albacete;2021;17010;20195;21519;3185;15.77
2;Albacete;2022;17726;21243;22781;3517;16.56
2;Albacete;2023;18711;22312;23981;3601;16.14
2;Albacete;2024;19449;23309;24962;3860;16.56
3;Alicante/Alacant;2015;13716;16864;18645;3148;18.67
3;Alicante/Alacant;2016;13845;17079;18835;3234;18.94
3;Alicante/Alacant;2017;14127;17470;19172;3343;19.14
3;Alicante/Alacant;2018;14652;18021;19809;3369;18.69
3;Alicante/Alacant;2019;15292;18730;20566;3438;18.36
3;Alicante/Alacant;2020;15224;18327;20503;3103;16.93
3;Alicante/Alacant;2021;15954;19108;21519;3154;16.51
3;Alicante/Alacant;2022;17259;20741;22781;3482;16.79
3;Alicante/Alacant;2023;18291;21867;23981;3576;16.35
3;Alicante/Alacant;2024;19102;22661;24962;3559;15.71
4;Almería;2015;12290;14322;18645;2032;14.19
4;Almería;2016;12517;14568;18835;2051;14.08
4;Almería;2017;12716;14862;19172;2146;14.44
4;Almería;2018;13258;15438;19809;2180;14.12
4;Almería;2019;13983;16233;20566;2250;13.86
4;Almería;2020;14384;16554;20503;2170;13.11
4;Almería;2021;15021;17173;21519;2152;12.53
4;Almería;2022;15769;17904;22781;2135;11.92
4;Almería;2023;16752;19041;23981;2289;12.02
4;Almería;2024;17452;19740;24962;2288;11.59
5;Ávila;2015;14233;17351;18645;3118;17.97
5;Ávila;2016;14273;17386;18835;3113;17.91
5;Ávila;2017;14600;17813;19172;3213;18.04
5;Ávila;2018;15145;18557;19809;3412;18.39
5;Ávila;2019;15690;19071;20566;3381;17.73
5;Ávila;2020;16364;19243;20503;2879;14.96
5;Ávila;2021;16854;20060;21519;3206;15.98
5;Ávila;2022;17789;21061;22781;3272;15.54
5;Ávila;2023;18578;22186;23981;3608;16.26
5;Ávila;2024;19343;22992;24962;3649;15.87
6;Badajoz;2015;12069;14391;18645;2322;16.14
6;Badajoz;2016;12220;14626;18835;2406;16.45
6;Badajoz;2017;12459;15009;19172;2550;16.99
6;Badajoz;2018;12953;15649;19809;2696;17.23
6;Badajoz;2019;13711;16533;20566;2822;17.07
6;Badajoz;2020;14118;16641;20503;2523;15.16
6;Badajoz;2021;14686;17459;21519;2773;15.88
6;Badajoz;2022;15368;18469;22781;3101;16.79
6;Badajoz;2023;16376;19529;23981;3153;16.15
6;Badajoz;2024;17207;20433;24962;3226;15.79
7;Balears, Illes;2015;15799;19109;18645;3310;17.32
7;Balears, Illes;2016;15967;19382;18835;3415;17.62
7;Balears, Illes;2017;16490;19941;19172;3451;17.31
7;Balears, Illes;2018;17409;20767;19809;3358;16.17
7;Balears, Illes;2019;18104;21432;20566;3328;15.53
7;Balears, Illes;2020;16939;19722;20503;2783;14.11
7;Balears, Illes;2021;18234;21214;21519;2980;14.05
7;Balears, Illes;2022;20067;23350;22781;3283;14.06
7;Balears, Illes;2023;21335;24812;23981;3477;14.01
7;Balears, Illes;2024;22499;25910;24962;3411;13.16
8;Barcelona;2015;19073;24958;18645;5885;23.58
8;Barcelona;2016;19215;25208;18835;5993;23.77
8;Barcelona;2017;19568;25718;19172;6150;23.91
8;Barcelona;2018;20198;26483;19809;6285;23.73
8;Barcelona;2019;20973;27266;20566;6293;23.08
8;Barcelona;2020;20938;26658;20503;5720;21.46
8;Barcelona;2021;22279;28135;21519;5856;20.81
8;Barcelona;2022;23580;29669;22781;6089;20.52
8;Barcelona;2023;24914;31088;23981;6174;19.86
8;Barcelona;2024;26070;32235;24962;6165;19.13
9;Burgos;2015;16140;22619;18645;6479;28.64
9;Burgos;2016;16101;22645;18835;6544;28.9
9;Burgos;2017;16572;23328;19172;6756;28.96
9;Burgos;2018;17081;23979;19809;6898;28.77
9;Burgos;2019;17422;24078;20566;6656;27.64
9;Burgos;2020;17666;23852;20503;6186;25.93
9;Burgos;2021;18429;24863;21519;6434;25.88
9;Burgos;2022;19442;26131;22781;6689;25.6
9;Burgos;2023;20463;27231;23981;6768;24.85
9;Burgos;2024;21360;28051;24962;6691;23.85
10;Cáceres;2015;12663;15266;18645;2603;17.05
10;Cáceres;2016;12863;15372;18835;2509;16.32
10;Cáceres;2017;13109;15693;19172;2584;16.47
10;Cáceres;2018;13616;16244;19809;2628;16.18
10;Cáceres;2019;14417;17115;20566;2698;15.76
